,loans_kz_total,loans_kz_biz_total,loans_kz_biz_kzt,loans_kz_biz_foreign,loans_kz_biz_small,loans_kz_biz_medium,loans_kz_biz_large,loans_kz_ind_total,loans_kz_ind_kzt,loans_kz_ind_foreign,loans_kz_ind_mortgage,loans_kz_ind_consumer,loans_kz_ind_others,cpi_kz_eoy_alcohol_tobacco,cpi_kz_eoy_soft_drinks,cpi_kz_eoy_housing_utilities,cpi_kz_eoy_health,cpi_kz_eoy_non_food_total,cpi_kz_eoy_education,cpi_kz_eoy_clothing_footwear,cpi_kz_eoy_recreation,cpi_kz_eoy_services_total,cpi_kz_eoy_household_items,cpi_kz_eoy_food_total,cpi_kz_eoy_food_only,cpi_kz_eoy_miscellaneous,cpi_kz_eoy_hotels_restaurants,cpi_kz_eoy_communication,cpi_kz_eoy_all,cpi_kz_eoy_transport,bond_kz_govt_cp_short_u1y,bond_kz_govt_cp_mid_1-5y,bond_kz_govt_cp_long_o5y,bond_kz_govt_cp_total,KASE_BMC,macro_kz_gdp_per_capita_usd,macro_kz_gdp_per_capita_kzt,macro_kz_gdp_per_capita_real_growth_pct,macro_kz_usd_kzt_avg,macro_kz_base_rate,macro_ru_key_rate,macro_ru_inflation_yoy,macro_ru_cpi_all_yoy,macro_ru_cpi_food_yoy,macro_ru_cpi_food_excl_alc_yoy,macro_ru_cpi_nonfood_yoy,macro_ru_cpi_services_yoy,bond_ru_ofz_yield_3m,bond_ru_ofz_yield_6m,bond_ru_ofz_yield_9m,bond_ru_ofz_yield_1y,bond_ru_ofz_yield_2y,bond_ru_ofz_yield_3y,bond_ru_ofz_yield_5y,bond_ru_ofz_yield_7y,bond_ru_ofz_yield_10y,bond_ru_ofz_yield_15y,bond_ru_ofz_yield_20y,macro_ru_labor_force,macro_ru_labor_employed,macro_ru_labor_unemployed,macro_ru_labor_participation_rate,macro_ru_labor_employment_rate,macro_ru_labor_unemployment_rate,macro_ru_ruonia_rate,macro_ru_ruonia_vol,bond_ru_corp_price_close,bond_ru_corp_yield,bond_ru_corp_duration,brent_price
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.39344262295083,1.4210854715202004e-14,-1.4210854715202004e-14,105.51639344262296,104.02131147540983,104.80382513661202,0.0,0.0,107.59289617486338,111.29234972677595,111.39234972677596,107.49016393442623,106.89398907103826,102.60382513661202,107.50491803278689,103.84918032786885,0.0,0.0,0.0,0.0,0.0,0.0,-4.656612873077393e-10,0.0,5.684341886080802e-14,0.0,0.0,-0.003225806451612634,102.43516483516484,102.02472527472527,102.09758241758242,102.46923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75370.64516129032,-8.258064516121522,-1.4193548387097508,61.78709677419354,-0.006451612903227044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.39016393442624,-1.4210854715202004e-14,1.4210854715202004e-14,105.52459016393442,104.03196721311475,104.80573770491803,0.0,-1.4210854715202004e-14,107.58934426229507,111.28852459016393,111.38852459016394,107.48524590163935,106.89098360655738,102.60573770491803,107.50737704918033,103.87377049180327,0.0,0.0,0.0,0.0,0.0,0.0,4.656612873077393e-10,0.0,-5.684341886080802e-14,0.0,0.0,-0.003225806451613078,102.44274725274725,102.04208791208791,102.11637362637363,102.47384615384615,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75360.96774193548,-8.258064516136074,-1.4193548387097508,61.78064516129032,-0.006451612903227044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,109.38688524590164,0.0,-1.4210854715202004e-14,105.5327868852459,104.04262295081968,104.80765027322404,-1.4210854715202004e-14,1.4210854715202004e-14,107.58579234972677,111.28469945355191,111.38469945355192,107.48032786885246,106.8879781420765,102.60765027322404,107.50983606557377,103.8983606557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0,0.0,-0.003225806451612634,102.45032967032967,102.05945054945055,102.13516483516484,102.47846153846153,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75351.29032258065,-8.258064516121522,-1.419354838709296,61.774193548387096,-0.006451612903219939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,109.38360655737705,1.4210854715202004e-14,1.4210854715202004e-14,105.54098360655738,104.05327868852459,104.80956284153005,1.4210854715202004e-14,0.0,107.58224043715846,111.28087431693989,111.3808743169399,107.47540983606558,106.88497267759563,102.60956284153005,107.51229508196721,103.92295081967212,0.0,0.0,0.0,0.0,0.002300000000005298,0.0,-4.656612873077393e-10,0.0,-5.684341886080802e-14,0.0,0.0,-0.003225806451613078,102.45791208791209,102.07681318681318,102.15395604395604,102.48307692307692,0.0,0.0600000000000005,0.04999999999999982,0.05000000000000071,0.0600000000000005,0.04999999999999982,0.040000000000000036,0.03000000000000025,0.019999999999999574,0.009999999999999787,-0.009999999999999787,-0.009999999999999787,75341.6129032258,-8.258064516136074,-1.4193548387097508,61.76774193548387,-0.006451612903227044,0.0,0.0,0.0,0.12999999999999545,-0.009999999999999787,-5.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.38032786885246,-1.4210854715202004e-14,0.0,105.54918032786885,104.06393442622951,104.81147540983606,0.0,0.0,107.57868852459016,111.27704918032786,111.37704918032787,107.47049180327869,106.88196721311476,102.61147540983606,107.51475409836065,103.94754098360656,0.0,0.0,0.0,0.0,0.0,-1.8189894035458565e-12,4.656612873077393e-10,0.0,5.684341886080802e-14,0.0,0.0,-0.003225806451613078,102.4654945054945,102.09417582417582,102.17274725274726,102.4876923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75331.93548387097,-8.258064516121522,-1.4193548387097508,61.76129032258064,-0.006451612903227044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.37704918032787,1.4210854715202004e-14,-1.4210854715202004e-14,105.55737704918033,104.07459016393443,104.81338797814207,0.0,0.0,107.57513661202185,111.27322404371584,111.37322404371585,107.4655737704918,106.87896174863388,102.61338797814207,107.5172131147541,103.97213114754098,0.0,0.0,0.0,0.0,0.004599999999996385,1.8189894035458565e-12,0.0,0.0,-5.684341886080802e-14,0.0,0.0,-0.003225806451612634,102.47307692307693,102.11153846153846,102.19153846153846,102.49230769230769,-1.4210854715202004e-14,0.1200000000000001,0.08999999999999986,0.05999999999999961,0.040000000000000036,0.0,-0.009999999999999787,-0.010000000000000675,0.0,0.010000000000000675,0.04999999999999982,0.05999999999999961,75322.25806451614,-8.258064516136074,-1.4193548387097508,61.754838709677415,-0.006451612903227044,0.0,0.0,0.0,0.03999999999999204,0.0,-2.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.37377049180328,-1.4210854715202004e-14,1.4210854715202004e-14,105.56557377049181,104.08524590163934,104.81530054644809,0.0,0.0,107.57158469945355,111.26939890710382,111.36939890710383,107.46065573770491,106.875956284153,102.61530054644808,107.51967213114754,103.99672131147541,0.0,0.0,0.0,0.0,0.0020999999999986585,0.0,-4.656612873077393e-10,0.0,5.684341886080802e-14,0.0,0.0,-0.003225806451613078,102.48065934065934,102.1289010989011,102.21032967032967,102.49692307692307,1.4210854715202004e-14,0.2999999999999998,0.25,0.20000000000000018,0.14999999999999947,0.009999999999999787,-0.020000000000000462,-0.040000000000000036,-0.04999999999999982,-0.020000000000000462,0.010000000000000675,0.040000000000000036,75312.58064516129,-8.258064516121522,-1.4193548387097508,61.748387096774195,-0.006451612903227044,0.0,0.0,0.0,0.0700000000000216,0.020000000000000462,1.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.3704918032787,0.0,-1.4210854715202004e-14,105.57377049180327,104.09590163934426,104.8172131147541,0.0,-1.4210854715202004e-14,107.56803278688524,111.2655737704918,111.3655737704918,107.45573770491804,106.87295081967214,102.6172131147541,107.52213114754099,104.02131147540983,0.0,0.0,0.0,0.0,0.006000000000000227,0.0,4.656612873077393e-10,1.4210854715202004e-14,-5.684341886080802e-14,0.0,0.0,-0.003225806451613078,102.48824175824176,102.14626373626373,102.22912087912088,102.50153846153846,0.0,0.009999999999999787,-0.009999999999999787,-0.020000000000000462,-0.03999999999999915,-0.05999999999999961,-0.07999999999999918,-0.11999999999999922,-0.13999999999999968,-0.16000000000000014,-0.1299999999999999,-0.09999999999999964,75302.90322580645,-8.258064516136074,-1.4193548387097508,61.74193548387097,-0.006451612903227044,0.0,-0.019999999999999574,4.599999999999994,0.549999999999983,-0.05000000000000071,2.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.36721311475411,1.4210854715202004e-14,1.4210854715202004e-14,105.58196721311475,104.10655737704919,104.81912568306011,0.0,1.4210854715202004e-14,107.56448087431693,111.26174863387978,111.36174863387978,107.45081967213115,106.86994535519126,102.6191256830601,107.52459016393442,104.04590163934427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,5.684341886080802e-14,0.0,0.0,-0.003225806451612634,102.49582417582418,102.16362637362637,102.24791208791208,102.50615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75293.2258064516,-8.258064516121522,-1.419354838709296,61.73548387096774,-0.006451612903219939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,109.36393442622952,-1.4210854715202004e-14,0.0,105.59016393442623,104.1172131147541,104.82103825136612,-1.4210854715202004e-14,0.0,107.56092896174863,111.25792349726775,111.35792349726776,107.44590163934426,106.86693989071038,102.62103825136612,107.52704918032786,104.07049180327868,0.0,0.0,0.0,0.0,0.0,0.0,-4.656612873077393e-10,0.0,-5.684341886080802e-14,0.0,0.0,-0.003225806451613078,102.5034065934066,102.18098901098901,102.2667032967033,102.51076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75283.54838709677,-8.258064516136074,-1.4193548387097508,61.729032258064514,-0.006451612903227044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
