Дата установления ставки (с);Размер ставки, %;;;;;
02.09.2015;12,0;;;;;
02.10.2015;16,0;;;;;
02.02.2016;17,0;;;;;
14.03.2016;17,0;;;;;
05.05.2016;15,0;;;;;
06.06.2016;15,0;;;;;
11.07.2016;13,0;;;;;
15.08.2016;13,0;;;;;
03.10.2016;12,5;;;;;
14.11.2016;12,0;;;;;
09.01.2017;12,0;;;;;
21.02.2017;11,0;;;;;
11.04.2017;11,0;;;;;
06.06.2017;10,5;;;;;
18.07.2017;10,5;;;;;
22.08.2017;10,25;;;;;
09.10.2017;10,25;;;;;
23.11.2017;10,25;;;;;
16.01.2018;9,75;;;;;
05.03.2018;9,5;;;;;
16.04.2018;9,25;;;;;
05.06.2018;9,0;;;;;
10.07.2018;9,0;;;;;
04.09.2018;9,0;;;;;
16.10.2018;9,25;;;;;
05.12.2018;9,25;;;;;
15.01.2019;9,25;;;;;
05.03.2019;9,25;;;;;
16.04.2019;9,00;;;;;
04.06.2019;9,00;;;;;
16.07.2019;9,00;;;;;
10.09.2019;9,25;;;;;
29.10.2019;9,25;;;;;
10.12.2019;9,25;;;;;
04.02.2020;9,25;;;;;
10.03.2020;12,00;;;;;
17.03.2020;12,00;;;;;
06.04.2020;9,5;;;;;
28.04.2020;9,5;;;;;
09.06.2020;9,5;;;;;
21.07.2020;9,0;;;;;
08.09.2020;9,0;;;;;
27.10.2020;9,0;;;;;
15.12.2020;9,0;;;;;
26.01.2021;9,0;;;;;
10.03.2021;9,0;;;;;
27.04.2021;9,0;;;;;
08.06.2021;9,0;;;;;
27.07.2021;9,25;;;;;
14.09.2021;9,50;;;;;
26.10.2021;9,75;;;;;
07.12.2021;9,75;;;;;
25.01.2022;10,25;;;;;
24.02.2022;13,5;;;;;
10.03.2022;13,5;;;;;
26.04.2022;14,0;;;;;
07.06.2022;14,0;;;;;
26.07.2022;14,5;;;;;
06.09.2022;14,5;;;;;
27.10.2022;16,0;;;;;
06.12.2022;16,75;;;;;
16.01.2023;16,75;;;;;
27.02.2023;16,75;;;;;
10.04.2023;16,75;;;;;
29.05.2023;16,75;;;;;
10.07.2023;16,75;;;;;
28.08.2023;16,50;;;;;
09.10.2023;16,0;;;;;
27.11.2023;15,75;;;;;
22.01.2024;15,25;;;;;
26.02.2024;14,75;;;;;
15.04.2024;14,75;;;;;
03.06.2024;14,50;;;;;
15.07.2024;14,25;;;;;
02.09.2024;14,25;;;;;
14.10.2024;14,25;;;;;
02.12.2024;15,25;;;;;
20.01.2025;15,25;;;;;
11.03.2025;16,50;;;;;
14.04.2025;16,50;;;;;
09.06.2025;16,50;;;;;
14.07.2025;16,50;;;;;
02.09.2025;16,50;;;;;
13.10.2025;18,0;;;;;
01.12.2025;18,0;;;;;
26.01.2026*;18,0;;;;;
