Валовой внутренний продукт на душу населения;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1990 год;1991 год;1992 год;1993 год;1994 год;1995 год;1996 год;1997 год;1998 год;1999 год;2000 год;2001 год;2002 год;2003 год;2004 год;2005 год;2006 год;2007 год;2008 год;2009 год;2010 год;2011 год;2012 год;2013 год;2014 год;2015 год;2016 год;2017 год;2018 год;2019 год;2020 год;2021 год;2022 год;2023 год;2024 год;;;;;;;;;;;;;;;;;;;;;;
Валовой внутренний продукт в текущих ценах, млн тенге;47870,5;85863,1;1217689,2;29423,1;423468,8;1014190,0;1415749,7;1672142,5;1733263,5;2016456,3;2599901,6;3250593,3;3776277,3;4611975,3;5870134,3;7590593,5;10213731,2;12849794,0;16052919,2;17007647,0;21815517,0;28243052,7;31015186,6;35999025,1;39675832,9;40884133,6;46971150,0;54378857,8;61819536,4;69532626,5;70649033,2;83951587,9;103765518,2;119442289,7;136693318,3;;;;;;;;;;;;;;;;;;;;;;
Курс доллара, тенге за 1 доллар США;-;-;-;-;35,64;60,95;67,30;75,44;78,30;119,52;142,13;146,74;153,28;149,58;136,04;132,88;126,09;122,55;120,30;147,50;147,35;146,62;149,11;152,13;179,19;221,73;342,16;326,00;344,71;382,75;412,95;426,03;460,48;456,31;469,44;;;;;;;;;;;;;;;;;;;;;;
Валовой внутренний продукт в текущих ценах, млн долларов США;-;-;-;11404,3;11881,8;16639,7;21036,4;22165,2;22136,2;16871,3;18292,4;22152,1;24636,5;30832,8;43150,1;57123,7;81003,5;104853,5;133440,7;115306,1;148052,4;192627,6;208002,1;236633,3;221417,7;184387,0;137278,3;166806,3;179337,8;181665,9;171083,7;197055,6;225342,1;261756,9;291183,8;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Среднегодовая численность населения, человек*;16328102;16404967;16439095;16380672;16145766;15816243;15578227;15334405;15071640;14928374;14883626;14858335;14858948;14909019;15012984;15147029;15308085;15484192;15982370;16092763;16321714;16556949;16791721;17035010;17287554;17541804;17792672;18036224;18275234;18512781;18754943;19000687;19634983;19900325;20158621;;;;;;;;;;;;;;;;;;;;;;
Валовой внутренний продукт на душу населения, тенге;2931,8;5234,0;74072,8;1796,2;26227,9;64123,3;90880,0;109045,2;115001,7;135075,4;174682,0;218772,4;254141,6;309341,3;391003,8;501127,5;667211,6;829865,3;1004414,2;1056850,6;1336594,7;1705812,6;1847052,3;2113237,7;2295051,9;2330668,7;2639915,5;3014980,2;3382694,7;3755925,5;3766955,4;4418344,9;5284726,7;6002027,1;6780886,4;;;;;;;;;;;;;;;;;;;;;;
Валовой внутренний продукт на душу населения, доллары США;;;;696,2;735,9;1052,1;1350,4;1445,5;1468,7;1130,1;1229,0;1490,9;1658,0;2068,1;2874,2;3771,3;5291,6;6771,6;8349,2;7165,1;9070,9;11634,2;12387,2;13891,0;12807,9;10511,3;7715,4;9248,4;9813,2;9813,0;9122,1;10371,0;11476,6;13153,4;14444,6;;;;;;;;;;;;;;;;;;;;;;
ИФО Валового внутреннего продукта на душу населения, в % к предыдущему году;;88,6;94,5;91,1;88,7;93,7;102,0;103,3;99,8;103,7;110,2;113,7;109,8;108,9;108,8;108,7;109,5;107,7;100,1;100,5;105,8;107,3;103,3;104,5;102,7;99,7;99,7;102,7;102,7;103,2;96,2;103,0;99,9;103,7;103,7;;;;;;;;;;;;;;;;;;;;;;
Дефлятор Валового внутреннего продукта на душу населения, в % к предыдущему году;;201,5;1497,6;1330,9;1646,2;260,9;138,9;116,2;105,6;113,3;117,4;110,1;105,8;111,8;116,2;117,9;121,6;115,5;121,0;104,7;119,5;118,9;104,8;109,5;105,7;101,9;113,6;111,2;109,2;107,6;104,3;114,0;119,8;109,5;108,9;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"*Данные о cреднегодовой численности населения с 2008-2021гг. пересчитаны с учетом образования новых областей и города (Абай, Жетісу, Ұлытау, Туркестанская, г. Шымкент).
Данные о cреднегодовой численности населения по Туркестанской области за 2000-2008 годы приведены по Южно-Казахстанской области. 06.10.2025г.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
