KASE_BMC 2013-01-03 - 2026-01-29;;;;
Дата;KASE_BMC;;;
04.09.17;100,0335;;;
05.09.17;100,0138;;;
06.09.17;100,0661;;;
07.09.17;100,0974;;;
08.09.17;100,1003;;;
11.09.17;100,1091;;;
12.09.17;100,1119;;;
13.09.17;100,1147;;;
14.09.17;100,1175;;;
15.09.17;100,1203;;;
18.09.17;100,1292;;;
19.09.17;100,1322;;;
20.09.17;100,1351;;;
21.09.17;100,1381;;;
22.09.17;100,1411;;;
25.09.17;100,1494;;;
26.09.17;100,152;;;
27.09.17;100,1546;;;
28.09.17;100,1573;;;
29.09.17;100,1596;;;
02.10.17;100,1602;;;
03.10.17;100,1371;;;
04.10.17;100,1354;;;
05.10.17;100,1373;;;
06.10.17;100,1399;;;
09.10.17;100,1517;;;
10.10.17;100,1545;;;
11.10.17;100,1345;;;
12.10.17;100,1835;;;
13.10.17;100,1976;;;
16.10.17;100,2232;;;
17.10.17;100,2259;;;
18.10.17;100,2076;;;
19.10.17;100,2314;;;
20.10.17;100,2341;;;
23.10.17;100,242;;;
24.10.17;100,2448;;;
25.10.17;100,2476;;;
26.10.17;100,2313;;;
27.10.17;100,119;;;
30.10.17;100,2422;;;
31.10.17;100,1615;;;
01.11.17;100,2756;;;
02.11.17;100,3027;;;
03.11.17;100,2811;;;
06.11.17;100,2353;;;
07.11.17;100,2907;;;
08.11.17;100,1616;;;
09.11.17;100,2778;;;
10.11.17;100,3165;;;
13.11.17;99,8323;;;
14.11.17;100,2714;;;
15.11.17;100,2518;;;
16.11.17;100,2546;;;
17.11.17;100,1508;;;
20.11.17;100,1932;;;
21.11.17;100,2235;;;
22.11.17;100,1994;;;
23.11.17;100,2025;;;
24.11.17;100,192;;;
27.11.17;100,1722;;;
28.11.17;100,1751;;;
29.11.17;100,2287;;;
30.11.17;100,2593;;;
04.12.17;100,1675;;;
05.12.17;100,1389;;;
06.12.17;100,2286;;;
07.12.17;100,2191;;;
08.12.17;100,1797;;;
11.12.17;100,1685;;;
12.12.17;100,1821;;;
13.12.17;100,1796;;;
14.12.17;100,1727;;;
15.12.17;100,1351;;;
20.12.17;100,1439;;;
21.12.17;100,2387;;;
22.12.17;100,2817;;;
25.12.17;100,1355;;;
26.12.17;100,2226;;;
27.12.17;100,104;;;
28.12.17;99,965;;;
29.12.17;100,2441;;;
03.01.18;100,2694;;;
04.01.18;100,3057;;;
05.01.18;100,3077;;;
08.01.18;100,3153;;;
09.01.18;100,3179;;;
10.01.18;100,3208;;;
11.01.18;100,3244;;;
12.01.18;100,3272;;;
15.01.18;100,3344;;;
16.01.18;100,3377;;;
17.01.18;100,3411;;;
18.01.18;100,3581;;;
19.01.18;100,348;;;
22.01.18;100,4056;;;
23.01.18;100,4051;;;
24.01.18;100,4077;;;
25.01.18;100,4094;;;
26.01.18;100,4115;;;
29.01.18;100,4208;;;
30.01.18;100,4233;;;
31.01.18;100,3477;;;
01.02.18;100,4288;;;
02.02.18;100,3711;;;
05.02.18;100,3806;;;
06.02.18;100,2721;;;
07.02.18;100,2825;;;
08.02.18;100,2848;;;
09.02.18;100,2809;;;
12.02.18;100,143;;;
13.02.18;100,0975;;;
14.02.18;100,1046;;;
15.02.18;100,1382;;;
16.02.18;100,1591;;;
19.02.18;100,1609;;;
20.02.18;100,1633;;;
21.02.18;100,1657;;;
22.02.18;100,1512;;;
23.02.18;100,1693;;;
26.02.18;100,1958;;;
27.02.18;100,1706;;;
28.02.18;100,1091;;;
01.03.18;100,1818;;;
02.03.18;100,1844;;;
03.03.18;100,1869;;;
05.03.18;100,3286;;;
06.03.18;100,329;;;
07.03.18;100,3095;;;
12.03.18;100,2224;;;
13.03.18;100,1773;;;
14.03.18;100,2141;;;
15.03.18;100,1814;;;
16.03.18;100,186;;;
19.03.18;100,2952;;;
20.03.18;100,2978;;;
26.03.18;100,2853;;;
27.03.18;100,2971;;;
28.03.18;100,2931;;;
29.03.18;100,1788;;;
30.03.18;100,2951;;;
02.04.18;100,3842;;;
03.04.18;100,4198;;;
04.04.18;100,4122;;;
05.04.18;100,4147;;;
06.04.18;100,3914;;;
09.04.18;100,3991;;;
10.04.18;100,4017;;;
11.04.18;100,4038;;;
12.04.18;100,4069;;;
13.04.18;100,4095;;;
16.04.18;100,4169;;;
17.04.18;100,4199;;;
18.04.18;100,4663;;;
19.04.18;100,4688;;;
20.04.18;100,4714;;;
23.04.18;100,4707;;;
24.04.18;100,6383;;;
25.04.18;100,6408;;;
26.04.18;100,6433;;;
27.04.18;100,6458;;;
28.04.18;100,553;;;
02.05.18;100,6314;;;
03.05.18;100,594;;;
04.05.18;100,6127;;;
05.05.18;100,5634;;;
10.05.18;100,5312;;;
11.05.18;100,5288;;;
14.05.18;100,5411;;;
15.05.18;100,5427;;;
16.05.18;100,5152;;;
17.05.18;100,7424;;;
18.05.18;100,5732;;;
21.05.18;100,6196;;;
22.05.18;100,6361;;;
23.05.18;100,6236;;;
24.05.18;100,717;;;
25.05.18;100,5818;;;
28.05.18;100,6251;;;
29.05.18;100,5978;;;
30.05.18;100,4152;;;
31.05.18;100,5848;;;
01.06.18;100,5628;;;
04.06.18;100,6277;;;
05.06.18;100,6158;;;
06.06.18;100,6217;;;
07.06.18;100,6345;;;
08.06.18;100,6394;;;
11.06.18;100,6864;;;
12.06.18;100,6526;;;
13.06.18;100,6554;;;
14.06.18;100,6581;;;
15.06.18;100,6608;;;
18.06.18;100,6867;;;
19.06.18;100,6885;;;
20.06.18;100,6292;;;
21.06.18;100,6764;;;
22.06.18;100,6778;;;
25.06.18;100,6722;;;
26.06.18;100,6565;;;
27.06.18;100,6063;;;
28.06.18;100,6533;;;
29.06.18;100,6571;;;
02.07.18;100,7075;;;
03.07.18;100,4851;;;
04.07.18;100,6253;;;
05.07.18;100,628;;;
09.07.18;100,6595;;;
10.07.18;100,6474;;;
11.07.18;100,6479;;;
12.07.18;100,6506;;;
13.07.18;100,732;;;
16.07.18;100,639;;;
17.07.18;100,794;;;
18.07.18;100,7202;;;
19.07.18;100,6502;;;
20.07.18;100,6528;;;
23.07.18;100,681;;;
24.07.18;100,6624;;;
25.07.18;100,6577;;;
26.07.18;100,6589;;;
27.07.18;100,6637;;;
30.07.18;100,6864;;;
31.07.18;100,6783;;;
01.08.18;100,6068;;;
02.08.18;100,6786;;;
03.08.18;100,8522;;;
06.08.18;100,9436;;;
07.08.18;100,8888;;;
08.08.18;100,8728;;;
09.08.18;100,8063;;;
10.08.18;100,8083;;;
13.08.18;100,9042;;;
14.08.18;100,8122;;;
15.08.18;100,875;;;
16.08.18;100,8088;;;
17.08.18;100,8586;;;
20.08.18;100,8575;;;
22.08.18;100,8696;;;
23.08.18;100,8733;;;
24.08.18;100,7033;;;
25.08.18;100,8891;;;
27.08.18;100,8689;;;
28.08.18;100,8715;;;
29.08.18;100,8658;;;
03.09.18;100,8607;;;
04.09.18;100,8633;;;
05.09.18;101,1374;;;
06.09.18;100,8704;;;
07.09.18;100,8617;;;
10.09.18;100,5784;;;
11.09.18;100,0473;;;
12.09.18;99,8869;;;
13.09.18;100,0531;;;
14.09.18;99,8266;;;
17.09.18;99,8759;;;
18.09.18;99,626;;;
19.09.18;99,9044;;;
20.09.18;99,4135;;;
21.09.18;99,7605;;;
24.09.18;99,9281;;;
25.09.18;99,8253;;;
26.09.18;99,8479;;;
27.09.18;99,7264;;;
28.09.18;99,7274;;;
01.10.18;99,7703;;;
02.10.18;99,7838;;;
03.10.18;99,801;;;
04.10.18;99,8041;;;
05.10.18;99,7917;;;
08.10.18;99,7709;;;
09.10.18;99,803;;;
10.10.18;99,1805;;;
11.10.18;99,9089;;;
12.10.18;99,9121;;;
15.10.18;99,7563;;;
16.10.18;99,7229;;;
17.10.18;99,3676;;;
18.10.18;99,4908;;;
19.10.18;99,3956;;;
22.10.18;99,5682;;;
23.10.18;99,7423;;;
24.10.18;99,6547;;;
25.10.18;99,6918;;;
26.10.18;99,7885;;;
29.10.18;99,5977;;;
30.10.18;99,573;;;
31.10.18;99,5707;;;
01.11.18;99,6734;;;
02.11.18;99,7185;;;
05.11.18;99,5947;;;
06.11.18;99,5799;;;
07.11.18;99,4572;;;
08.11.18;99,4565;;;
09.11.18;99,4766;;;
12.11.18;99,2167;;;
13.11.18;99,2197;;;
14.11.18;99,2253;;;
15.11.18;99,2295;;;
16.11.18;99,2337;;;
19.11.18;99,3195;;;
20.11.18;99,2505;;;
21.11.18;99,2547;;;
22.11.18;99,263;;;
23.11.18;99,3366;;;
26.11.18;99,3481;;;
27.11.18;99,0913;;;
28.11.18;99,3251;;;
29.11.18;99,3278;;;
30.11.18;99,2957;;;
04.12.18;99,5578;;;
05.12.18;99,3168;;;
06.12.18;99,3007;;;
07.12.18;99,2872;;;
10.12.18;99,1342;;;
11.12.18;99,2885;;;
12.12.18;99,2673;;;
13.12.18;99,2256;;;
14.12.18;99,2479;;;
19.12.18;99,3289;;;
20.12.18;99,2992;;;
21.12.18;99,2203;;;
24.12.18;99,4082;;;
25.12.18;99,3268;;;
26.12.18;99,3378;;;
27.12.18;99,3628;;;
28.12.18;98,8675;;;
29.12.18;99,1106;;;
03.01.19;99,6565;;;
04.01.19;99,6603;;;
08.01.19;99,6759;;;
09.01.19;99,6796;;;
10.01.19;99,7353;;;
11.01.19;99,6877;;;
14.01.19;99,7205;;;
15.01.19;99,3791;;;
16.01.19;99,7092;;;
17.01.19;99,799;;;
18.01.19;99,676;;;
21.01.19;99,3985;;;
22.01.19;99,9154;;;
23.01.19;100,003;;;
24.01.19;100,1147;;;
25.01.19;100,0676;;;
28.01.19;99,9538;;;
29.01.19;100,1175;;;
30.01.19;99,5168;;;
31.01.19;99,8671;;;
01.02.19;99,9828;;;
04.02.19;99,9825;;;
05.02.19;99,9863;;;
06.02.19;99,99;;;
07.02.19;99,9868;;;
08.02.19;99,9906;;;
11.02.19;99,9209;;;
12.02.19;100,006;;;
13.02.19;99,7707;;;
14.02.19;99,8253;;;
15.02.19;99,8227;;;
18.02.19;99,8416;;;
19.02.19;99,8596;;;
20.02.19;99,877;;;
21.02.19;99,9907;;;
22.02.19;99,8833;;;
25.02.19;99,8964;;;
26.02.19;99,5822;;;
27.02.19;99,7576;;;
28.02.19;99,9758;;;
01.03.19;100,2391;;;
04.03.19;100,25;;;
05.03.19;100,2536;;;
06.03.19;100,2941;;;
07.03.19;100,2256;;;
11.03.19;100,3127;;;
12.03.19;100,3442;;;
13.03.19;100,32;;;
14.03.19;100,3236;;;
15.03.19;100,3263;;;
18.03.19;100,3381;;;
19.03.19;100,3417;;;
20.03.19;100,3437;;;
26.03.19;100,3452;;;
27.03.19;100,298;;;
28.03.19;100,2943;;;
29.03.19;100,2639;;;
01.04.19;100,446;;;
02.04.19;100,4501;;;
03.04.19;100,4596;;;
04.04.19;100,3795;;;
05.04.19;100,3066;;;
08.04.19;100,3946;;;
09.04.19;100,1448;;;
10.04.19;100,4351;;;
11.04.19;100,3876;;;
12.04.19;100,506;;;
15.04.19;100,4738;;;
16.04.19;100,3812;;;
17.04.19;100,4296;;;
18.04.19;100,457;;;
19.04.19;100,3911;;;
