KZGB_CP 2013-01-03 - 2026-01-29;;;;
Дата;KZGB_CPs;KZGB_CPm;KZGB_CPl;KZGB_CP
09.03.22;1000;994,81;1005,18;
10.03.22;997,94;997,75;1009,44;
11.03.22;996,66;1002,04;1017,87;
14.03.22;994,96;1000,69;1036,23;
15.03.22;995,37;1003,32;1038,36;
16.03.22;995,81;1000,38;1037,19;
17.03.22;993,19;982,91;1033,54;
18.03.22;993,67;983,73;1026,05;
24.03.22;994,64;979,56;1024,27;
25.03.22;994,23;970,54;1030,27;
28.03.22;994,9;967,39;1027,86;
29.03.22;995,36;968,09;1026,4;
30.03.22;995,32;966,14;1026,76;
31.03.22;995,82;964,21;1027,98;
01.04.22;995,77;960,35;1028,68;
04.04.22;996,76;958,89;1031,89;
05.04.22;996,96;961,77;1030,2;
06.04.22;998,19;965,3;1028,59;
07.04.22;997,93;958,07;1033,11;
08.04.22;998,03;957,1;1032,76;
11.04.22;997,39;948,82;1032,58;
12.04.22;997,98;959,49;1038,97;
13.04.22;997,36;955,27;1040,78;
14.04.22;997,71;952,94;1034,45;
15.04.22;997,93;955,59;1025,6;
18.04.22;998,6;955,89;1022,79;
19.04.22;998,8;952,01;1013,63;
20.04.22;998,95;950,33;1007,07;
21.04.22;999,76;949,35;1004,21;
22.04.22;999,17;949,23;1003,9;
25.04.22;999,75;948,78;1016,72;
26.04.22;999,93;973,1;1020,95;
27.04.22;1000,66;955,93;1007,23;
28.04.22;1000,26;956;1015,55;
29.04.22;1000,38;958,33;1019,53;
03.05.22;1001,02;956,98;1017,45;
04.05.22;1001,27;956,88;1018,72;
05.05.22;1001,49;952,55;1018,61;
06.05.22;1000,85;954,29;1015,26;
11.05.22;1001,26;949,37;1007,3;
12.05.22;1001,71;949,67;1017,68;
13.05.22;1002,55;945,71;1021,81;
16.05.22;1009,14;945,86;1020,61;
17.05.22;1005,91;947,98;1017,81;
18.05.22;1003,17;945,55;1013,95;
19.05.22;1002,92;948,46;1012,08;
20.05.22;1005,63;948,15;1011,82;
23.05.22;1005,91;948,65;1018,2;
24.05.22;1003,46;953,14;1009,76;
25.05.22;1003,57;950,72;1019,98;
26.05.22;1003,52;952,08;1021,24;
27.05.22;1003,7;970,83;1013,57;
30.05.22;1004,27;958,17;1015,7;
31.05.22;1004,65;957,21;1019,47;
01.06.22;1004,87;954,74;1020,25;
02.06.22;1005,12;957,14;1017,87;
03.06.22;1005,82;954,21;1007,34;
06.06.22;1005,99;947,59;993,24;
07.06.22;1006,85;948,62;990,9;
08.06.22;1007,03;945,49;985,05;
09.06.22;1007,66;951,35;994,13;
10.06.22;1007,53;940,08;986,9;
13.06.22;1008,42;940,57;989,51;
14.06.22;1008,72;941,05;989,96;
15.06.22;1008,37;944,26;979,66;
16.06.22;1009,15;940,36;978,56;
17.06.22;1009,38;946,69;987,96;
20.06.22;1009,9;945,47;987,08;
21.06.22;1009,77;955,84;992,13;
22.06.22;1009,12;954,95;986,91;
23.06.22;1009,29;953,61;998,03;
24.06.22;1009,72;958,48;995,48;
27.06.22;1010,53;949,28;1004,4;
28.06.22;1010,72;957,24;1006,48;
29.06.22;1010,52;955,93;1007,14;
30.06.22;1011,24;964,55;1006,62;
01.07.22;1011,1;951,99;1009,04;
04.07.22;1010,63;955,56;1006,41;
05.07.22;1011,22;956,23;995,7;
07.07.22;1011,75;951,37;1005,92;
08.07.22;1013,35;954,73;1009,69;
11.07.22;1012,5;952,39;1006,17;
12.07.22;1012,92;950,44;1006,27;
13.07.22;1012,75;952,52;1004,41;
14.07.22;1015,3;945,07;1012,4;
15.07.22;1015,89;944,65;1017,45;
18.07.22;1016,21;946,3;1017,07;
19.07.22;1021,07;951,76;1017,68;
20.07.22;1014,56;950,44;1005,56;
21.07.22;1014,41;961,53;998,59;
22.07.22;1014,85;961,82;1016,99;
25.07.22;1016,34;954,15;1014,03;
26.07.22;1016,45;963,17;1019,49;
27.07.22;1015,5;960,2;1022,4;
28.07.22;1016,37;962,59;1018,91;
29.07.22;1015,89;966,18;1023,01;
01.08.22;1018,52;959,65;1025,76;
02.08.22;1015,58;965,04;1023,06;
03.08.22;1016,73;958,38;1025,47;
04.08.22;1016,72;962,74;1023,5;
05.08.22;1016,93;957,63;1026,02;
08.08.22;1017,72;966,02;1027,51;
09.08.22;1017,83;965,09;1026,54;
10.08.22;1018,01;961,51;1028,08;
11.08.22;1017,9;963,52;1028,74;
12.08.22;1017,73;961,29;1030,66;
15.08.22;1018,41;959,46;1031,21;
16.08.22;1018,66;961,98;1031,36;
17.08.22;1018,82;957,3;1031,12;
18.08.22;1019,16;965;1033,65;
19.08.22;1018,99;962,86;1034,3;
22.08.22;1019,6;963,9;1033,98;
23.08.22;1019,76;964,42;1034,89;
24.08.22;1019,95;957,87;1035,06;
25.08.22;1019,26;964,28;1034,97;
26.08.22;1019,33;967,05;1035,8;
27.08.22;1019,43;963,88;1038,03;
31.08.22;1020,39;959,68;1037;
01.09.22;1020,8;961,59;1037,2;
02.09.22;1020,8;967,51;1038,54;
05.09.22;1021,35;973,32;1037,62;
06.09.22;1021,69;966,05;1039,36;
07.09.22;1021,89;965,74;1037,84;
08.09.22;1022,17;966,27;1037,05;
09.09.22;1022,47;967,44;1038,12;
12.09.22;1025,22;966,14;1038,06;
13.09.22;1023,91;967,07;1042,7;
14.09.22;1024,26;973,93;1042,95;
15.09.22;1023,41;967,52;1026,63;
16.09.22;1024,2;966,65;1042,22;
19.09.22;1024,31;963,55;1043,98;
20.09.22;1024,41;964,03;1043,6;
21.09.22;1024,61;957,29;1033,49;
22.09.22;1024,74;962,12;1044,57;
23.09.22;1025,18;958,97;1043,91;
26.09.22;1025,69;962,76;1043,88;
27.09.22;1025,17;960,1;1045,75;
28.09.22;1025,61;960,74;1043,28;
29.09.22;1025,68;965,86;1043,04;
30.09.22;1025,79;969,54;1042,64;
03.10.22;1026,01;967,32;1041,91;
04.10.22;1026,1;971,31;1041,42;
05.10.22;1026,1;964,46;1041,38;
06.10.22;1026,65;969,23;1039;
07.10.22;1026,54;969,49;1038,84;
10.10.22;1026,94;974,3;1039,2;
11.10.22;1027,85;969,94;1041,84;
12.10.22;1027,91;970,3;1042,41;
13.10.22;1028,53;969,91;1040,01;
14.10.22;1028,8;972,45;1041,03;
17.10.22;1029,9;970,4;1042,79;
18.10.22;1030,18;973,37;1044,32;
19.10.22;1030,81;972,23;1044,23;
20.10.22;1027,06;966,52;1052,08;
21.10.22;1028,15;965,81;1054,51;
22.10.22;1028,18;966,94;1053,85;
26.10.22;1031,92;961,59;1047,57;
27.10.22;1028,77;964,27;1043,83;
28.10.22;1028,59;966,37;1043,67;
31.10.22;1033,73;968,18;1044,56;
01.11.22;1031,16;965,49;1032,09;
02.11.22;1032,73;970,53;1042,87;
03.11.22;1035,82;970,38;1040,77;
04.11.22;1034,14;972,63;1039,19;
07.11.22;1036,17;974,2;1041,37;
08.11.22;1035,47;973,54;1039,7;
09.11.22;1036,09;974,31;1040,01;
10.11.22;1038,52;977,16;1040,34;
11.11.22;1036,37;978,88;1038,67;
14.11.22;1039,49;978,75;1037,36;
15.11.22;1037,92;979,24;1038,56;
16.11.22;1038,36;973,96;1036,93;
17.11.22;1039;969,15;1027,45;
18.11.22;1037,25;970,48;1028,09;
21.11.22;1037,26;963,78;1010,09;
22.11.22;1039,5;965,49;1003,04;
23.11.22;1037,57;965,05;1000,13;
24.11.22;1037,63;966,32;1006,11;
25.11.22;1035,71;966,79;1002,92;
28.11.22;1038,66;965,83;1018,03;
29.11.22;1037,1;978,34;977,85;
30.11.22;1040,01;981,67;984,6;
01.12.22;1034,89;973,39;1007,26;
02.12.22;1037,59;979,13;989,49;
05.12.22;1038,36;978,38;1000,97;
06.12.22;1039,93;986,73;1024,78;
07.12.22;1040,49;989,27;1015,21;
08.12.22;1039,85;985,7;1024,39;
09.12.22;1040,6;987,97;1025,06;
12.12.22;1042,55;988,88;1018,49;
13.12.22;1043,94;989,43;1018,74;
14.12.22;1043,01;965,72;1020,49;
15.12.22;1036,2;938,22;1022,72;
19.12.22;1037,45;936,36;1027,02;
20.12.22;1038,13;938,19;1018,81;
21.12.22;1040,4;939,06;1013,43;
22.12.22;1038,49;945,32;1012,28;
23.12.22;1041,78;943,93;1010,39;
26.12.22;1039,04;950,91;1011,16;
27.12.22;1042,1;948,15;1011,95;
28.12.22;1039,12;934,36;1001,65;
29.12.22;1041,12;932;994,92;
30.12.22;1037,18;935,63;996,71;
04.01.23;1038,26;940,23;981,61;
05.01.23;1042,74;934,02;964,55;
06.01.23;1043,51;938,13;963,31;
09.01.23;1044,63;951,59;968,75;
10.01.23;1045,63;950,13;976,19;
11.01.23;1046,06;942,96;965,24;
12.01.23;1045,27;932,08;977,05;
13.01.23;1045,49;934;978,17;
16.01.23;1043,43;915,17;992,88;
17.01.23;1044;915,28;994,91;
18.01.23;1043,61;922,91;986,32;
19.01.23;1044,9;912,08;978,08;
20.01.23;1045,29;914,24;982,57;
23.01.23;1045,48;907,46;993,09;
24.01.23;1045,27;915,57;996,97;
25.01.23;1045,39;910,45;978;
26.01.23;1045,21;906,37;970,17;
27.01.23;1045,04;907,78;976,67;
30.01.23;1045,65;914,32;972,12;
31.01.23;1045,91;920,28;981,7;
01.02.23;1049,09;931,05;970,7;
02.02.23;1048,49;920,49;942,52;
03.02.23;1050,85;912,52;957,88;
06.02.23;1050,43;917,84;945,59;
07.02.23;1049,08;913,89;932,84;
08.02.23;1050,42;913,02;937,37;
09.02.23;1047,99;922,91;948,56;
10.02.23;1049,52;926,21;967,34;
13.02.23;1054,41;940,77;978,71;
14.02.23;1054,47;946,47;992,13;
15.02.23;1054,88;934,34;995,74;
16.02.23;1054,91;940,13;966,69;
17.02.23;1055,27;941,43;972,76;
20.02.23;1055,94;942,49;976,65;
21.02.23;1056,4;943,34;1000,13;
22.02.23;1057,5;942,87;1007,67;
23.02.23;1057,13;946,84;1005,76;
24.02.23;1057,28;949,36;1005,76;
27.02.23;1055,92;950,56;1004,37;
28.02.23;1056,15;951,02;1001,79;
01.03.23;1057,21;952,75;999,44;
02.03.23;1057,07;937,28;934,26;
03.03.23;1057,69;946,46;916,18;
06.03.23;1057,88;944,99;932,14;
07.03.23;1057,36;942,55;934,53;
09.03.23;1057,72;945,73;944,16;
10.03.23;1059,67;945,98;961,67;
13.03.23;1061,46;938,83;969,16;
14.03.23;1061,68;949,21;998,72;
15.03.23;1061,79;950,23;995,39;
16.03.23;1062,06;948,87;944,12;
17.03.23;1062,53;949,51;954,34;
20.03.23;1062,89;950,88;956;
24.03.23;1063,62;950,7;969,06;
27.03.23;1063,77;955,17;971,66;
28.03.23;1063,52;958,88;986,91;
29.03.23;1063,46;960,28;1001,43;
30.03.23;1064,01;956,76;974,71;
31.03.23;1064,53;955,64;980;
03.04.23;1065,98;958,4;978,09;
04.04.23;1066,74;961,2;986,02;
05.04.23;1066,4;966,27;982,22;
06.04.23;1067,14;969,72;941,58;
07.04.23;1068,19;966,44;943,48;
10.04.23;1070,11;969,01;948,58;
11.04.23;1070,18;968,51;946,33;
12.04.23;1071,04;964,54;931,33;
13.04.23;1071,01;954,93;902,18;
14.04.23;1071,01;954,55;912,39;
17.04.23;1071,34;960,23;923,43;
18.04.23;1071,72;962,64;937,67;
19.04.23;1070,9;915,06;929,14;
20.04.23;1068,46;928,31;929,95;
21.04.23;1069,16;957,88;955,95;
24.04.23;1070,5;968,57;958,25;
25.04.23;1071,07;970,35;963,26;
26.04.23;1071,54;974,69;967,57;
27.04.23;1073,28;973,99;949,92;
28.04.23;1073,2;970,33;957,33;
02.05.23;1073,95;971,54;962,44;
03.05.23;1070,74;956,7;971,46;
04.05.23;1069,76;937,01;975,94;
05.05.23;1070,64;942,81;978,04;
10.05.23;1073,05;940,4;969,64;
11.05.23;1073,86;943,78;924,43;
12.05.23;1074,71;949,7;939,69;
15.05.23;1075,85;955,1;953,07;
16.05.23;1076,67;954,84;963,97;
17.05.23;1076,81;951,44;954,14;
18.05.23;1076,09;944,2;936,04;
19.05.23;1079,04;944,27;946,03;
22.05.23;1077,26;944,84;943,09;
23.05.23;1075,99;948,14;928,41;
24.05.23;1075,91;948,69;932,66;
25.05.23;1075,41;946,96;920,53;
26.05.23;1077,52;948,6;926,2;
29.05.23;1075,89;952,05;929,97;
30.05.23;1076,54;950,16;912,49;
31.05.23;1077,4;951,33;909,03;
01.06.23;1075,88;945,71;911,29;
02.06.23;1081,9;941,46;910,24;
05.06.23;1078,05;941,9;913,76;
06.06.23;1078,32;943,22;925,36;
07.06.23;1078,83;939,94;911,19;
08.06.23;1080,61;939,12;906,73;
09.06.23;1080,9;939,89;903,52;
12.06.23;1081,58;940,52;904,08;
13.06.23;1081,76;940,7;905,69;
14.06.23;1081,93;940,61;896,19;
15.06.23;1081,01;935,45;885,06;
16.06.23;1083,27;935,09;881,57;
19.06.23;1082,86;939,01;885,24;
20.06.23;1084,48;936,59;892,55;
21.06.23;1082,69;937,37;893,84;
22.06.23;1083,05;936,44;892,81;
23.06.23;1083,21;935,96;894,26;
26.06.23;1083,3;936,06;900,06;
27.06.23;1082,75;937,45;906,39;
29.06.23;1083,07;935,74;900,07;
30.06.23;1082,1;944,15;898,14;
01.07.23;1082,04;943,61;894,36;
03.07.23;1082,43;944,31;894,77;
04.07.23;1085,35;943,07;887,64;
05.07.23;1085,93;942,33;887,45;
10.07.23;1083,63;945,14;903,66;
11.07.23;1084,41;939,39;905,49;
12.07.23;1085,54;937,7;903,62;
13.07.23;1086,74;937,35;901,93;
14.07.23;1086,82;938,7;904,27;
17.07.23;1087,46;939,76;901,18;
18.07.23;1086,85;945,38;908,14;
19.07.23;1086,26;946,33;913,11;
20.07.23;1086,79;947,14;914,73;
21.07.23;1086,96;943,83;917,77;
24.07.23;1087,77;944,31;920,31;
25.07.23;1087,77;941,38;921,69;
26.07.23;1088,15;947,83;925,13;
27.07.23;1087,67;946,98;928,89;
28.07.23;1087,46;943,99;927,75;
31.07.23;1088,16;947,12;929,82;
01.08.23;1088,16;947,97;931,15;
02.08.23;1088,9;945,97;927,23;
03.08.23;1090,49;946,89;925,97;
04.08.23;1088,78;945,32;927,27;
07.08.23;1089,51;945,53;929,58;
08.08.23;1090,38;946,05;932,03;
09.08.23;1090,6;947,28;932,34;
10.08.23;1090,23;946,71;936,65;
11.08.23;1089,87;945,64;932,77;
14.08.23;1089,72;947,57;933,23;
15.08.23;1092,84;945,62;938,16;
16.08.23;1090,77;946,35;934,7;
17.08.23;1091,96;946,37;910,09;
18.08.23;1091,63;943,3;914,92;
21.08.23;1091,47;943,21;920,79;
22.08.23;1093,85;945,45;917,88;
23.08.23;1093,77;946,87;923,27;
24.08.23;1093,36;940,31;923,77;
25.08.23;1091,11;942,7;934,13;
28.08.23;1091,99;942,03;923,76;
29.08.23;1091,89;941,77;935,81;
31.08.23;1092,92;944,75;937,32;
01.09.23;1093,07;946,1;934,12;
04.09.23;1093,18;942,87;937,35;
05.09.23;1096,66;943,87;938,5;
06.09.23;1094;944,97;935,95;
07.09.23;1096,89;945,25;927,42;
08.09.23;1098,08;944,9;922,14;
11.09.23;1098,66;947,85;923,57;
12.09.23;1097,01;945,7;923,58;
13.09.23;1099,69;946,67;922,57;
14.09.23;1098,01;949,22;911,48;
15.09.23;1098,01;949,51;912,74;
18.09.23;1098,59;950,69;914,22;
19.09.23;1098,77;949,59;918,37;
20.09.23;1099,18;949,44;920,7;
21.09.23;1100,64;949,78;918,22;
22.09.23;1103,63;951,3;914,38;
25.09.23;1099,56;950,74;916,72;
26.09.23;1099,31;949,34;913,54;
27.09.23;1099,44;949,25;912,84;
28.09.23;1099,79;949,96;911,83;
29.09.23;1099,87;950,21;912,47;
02.10.23;1100,78;950,85;909,78;1000
03.10.23;1100,98;949,57;913,37;1000,48
04.10.23;1101,37;949,1;913,04;1000,63
05.10.23;1103,08;947,33;915,28;1001,65
06.10.23;1104,81;947,87;912,38;1002,08
09.10.23;1106;946,7;912,78;1001,06
10.10.23;1107,32;945,54;914,37;1001,04
11.10.23;1107,46;946,84;914,7;1001,28
12.10.23;1105,36;947,29;909,45;999,7
13.10.23;1104,29;948,35;907,16;998,36
16.10.23;1104,83;950,49;910,9;998,65
17.10.23;1106,17;949,17;910,59;998,66
18.10.23;1104,72;950,02;907,29;998,35
19.10.23;1104,53;946,92;905,23;996,29
20.10.23;1104,96;945,8;902,84;995,43
23.10.23;1106,17;944,68;901,93;993,26
24.10.23;1105,88;943,45;902,14;993,31
26.10.23;1105,46;945,07;900,48;991,72
27.10.23;1105,05;943,82;908,79;996,17
30.10.23;1106,89;945,06;909,5;996,84
31.10.23;1106;944,42;912,01;998,44
01.11.23;1106,24;946,75;912,38;999,54
02.11.23;1107,26;941,39;912,59;997,07
03.11.23;1105,77;939,85;914,16;996,57
06.11.23;1109,27;939,28;913,31;996,61
07.11.23;1109,15;940,54;911,55;996,71
08.11.23;1109,59;942,55;912,32;997,79
09.11.23;1110,01;942,78;914,61;998,95
10.11.23;1111,25;943,33;913,78;999,77
13.11.23;1111,61;945,79;914,68;1001,05
14.11.23;1111,46;945,34;914,44;1000,94
15.11.23;1113,94;944,63;914,48;1000,73
16.11.23;1112,66;943,33;914,27;1000,12
17.11.23;1113,31;943,01;914,69;1000,1
20.11.23;1113,96;945,57;914,42;999,8
21.11.23;1114,5;943,27;914,08;1000,29
22.11.23;1114,96;941,77;913,76;999,92
23.11.23;1115,27;943,14;912,17;999
24.11.23;1115,37;942,97;911,78;999,03
27.11.23;1115,87;942,3;913,6;998,29
28.11.23;1115,31;943,78;909,83;998,39
29.11.23;1113,72;943,86;908,46;996,59
30.11.23;1112,67;943,26;909,04;996,76
01.12.23;1112,86;945,4;908,39;997,3
04.12.23;1114,02;946,73;908,76;997,35
05.12.23;1115,51;944,56;909,62;998,49
06.12.23;1117,61;944,11;908,46;997,59
07.12.23;1116,73;943,22;904,91;994,79
08.12.23;1116,96;943,06;905,28;994,98
11.12.23;1117,62;942,46;904,55;995,27
12.12.23;1117,84;942,29;904,33;995,17
13.12.23;1118,01;942,49;902,86;993,16
14.12.23;1120,21;944,71;905,96;996,3
15.12.23;1120,87;948,08;902,39;995
19.12.23;1121,74;951,81;900,83;995,57
20.12.23;1122,04;951,7;903,71;998,1
21.12.23;1122,32;952,43;902,13;997,26
22.12.23;1123,31;954,08;902,29;998
25.12.23;1123,44;956,53;902,66;998,74
26.12.23;1123,42;954,98;904,68;999,75
