Индекс цен и тарифов на потребительские товары и услуги ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;                                                          в процентах;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
декабрь к декабрю предыдущего года;;;;;;;;;;;;;;;;;;;;;;;;;;
Товары и услуги;109,8;106,4;106,6;106,8;106,7;107,5;108,4;118,8;109,5;106,2;107,8;107,4;106,0;104,8;107,4;113,6;108,5;107,1;105,3;105,4;107,5;108,4;120,3;109,8;108,6;112,3
Продовольственные товары;112,8;108,8;107,1;107,1;107,4;108,1;107,3;126,6;110,8;103,0;110,1;109,1;105,3;103,3;108,0;110,9;109,7;106,5;105,1;109,6;111,3;109,9;125,3;108,5;105,5;113,5
Непродовольственные товары;106,1;104,5;106,3;106,9;106,2;105,9;107,1;110,5;105,7;108,6;105,5;105,3;103,5;103,3;107,8;122,6;109,5;108,9;106,4;105,0;105,5;108,5;119,4;109,1;108,3;111,1
Платные услуги;107,1;103,5;105,8;105,9;105,9;108,0;111,6;115,4;111,4;108,4;106,8;107,3;109,3;108,0;106,4;108,1;106,1;105,9;104,5;100,7;104,2;106,5;114,1;112,4;113,3;112,0
Продукты питания;113,9;110,0;108,1;108,2;108,3;109,0;107,7;129,3;111,2;101,2;110,2;109,8;105,1;102,7;107,3;110,1;108,9;106,2;104,8;109,6;111,4;110,0;125,5;108,0;105,1;113,4
Безалкогольные напитки;105,3;106,0;103,2;103,7;103,2;103,6;103,0;109,5;107,5;118,3;108,6;105,9;105,5;104,1;108,8;116,9;125,8;106,5;104,0;108,5;109,4;108,2;126,1;111,4;108,4;116,3
Алкогольные напитки и табачные изделия;104,7;100,4;101,6;101,0;101,9;103,6;106,3;113,2;108,9;112,9;109,5;105,6;107,2;108,1;113,5;115,6;109,2;110,3;110,2;109,6;110,8;110,3;119,6;115,6;111,9;111,9
Одежда и обувь ;106,8;107,2;108,0;106,7;106,6;107,5;107,9;110,2;108,1;108,5;105,5;103,7;104,4;104,2;107,6;132,9;109,0;108,0;107,8;106,7;104,8;105,5;117,6;111,3;110,5;110,8
Жилищные услуги и другие виды топлива;107,8;103,8;106,2;105,6;103,7;107,7;111,0;118,4;108,9;105,3;107,0;106,5;108,2;108,6;106,4;108,7;106,9;107,9;103,2;97,3;103,5;109,2;115,6;113,9;114,2;109,3
Предметы домашнего обихода;103,0;104,8;104,6;104,0;103,6;104,6;104,5;108,2;108,1;111,5;104,1;102,7;103,2;103,5;109,4;124,7;109,4;106,1;106,6;106,0;107,6;106,3;130,2;107,0;104,6;107,9
Здравоохранение;105,1;101,8;105,9;103,3;102,8;103,7;104,8;109,6;112,2;117,7;108,3;104,2;104,5;106,0;112,4;122,6;114,0;107,1;107,1;106,6;107,4;105,2;117,1;114,5;110,0;117,0
Транспорт;109,7;99,0;104,7;112,5;111,2;105,4;115,9;113,1;104,4;106,8;105,7;111,6;106,5;103,9;106,1;107,0;107,6;111,3;104,6;100,6;103,8;112,8;106,1;109,8;106,1;112,7
Связь;100,2;100,5;101,4;101,3;113,3;99,6;101,2;98,8;101,4;111,3;104,4;109,5;112,2;104,1;100,0;106,8;100,9;100,9;104,1;101,1;102,6;103,3;103,2;100,3;116,9;103,7
Отдых и культура;104,7;103,4;104,7;103,7;103,8;104,5;104,4;105,8;105,8;107,3;104,4;102,2;102,9;103,3;106,8;113,1;106,6;106,3;106,3;106,6;103,5;103,7;117,4;109,4;119,2;115,7
