;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Loans to economy from banking sector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;mln KZT, at the end of period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Metric;2022-01-01;2022-02-01;2022-03-01;2022-04-01;2022-05-01;2022-06-01;2022-07-01;2022-08-01;2022-09-01;2022-10-01;2022-11-01;2022-12-01;2023-01-01;2023-02-01;2023-03-01;2023-04-01;2023-05-01;2023-06-01;2023-07-01;2023-08-01;2023-09-01;2023-10-01;2023-11-01;2023-12-01;2024-01-01;2024-02-01;2024-03-01;2024-04-01;2024-05-01;2024-06-01;2024-07-01;2024-08-01;2024-09-01;2024-10-01;2024-11-01;2024-12-01;2025-01-01;2025-02-01;2025-03-01;2025-04-01;2025-05-01;2025-06-01;2025-07-01;2025-08-01;2025-09-01;2025-10-01;2025-11-01;2025-12-01;2026-01-01
;Total;20544330;20499702;21214553;21268242;21388515;21429275;22091516;22397856;22707855;23144217;23498876;24179610;24773243;24696255;24790311;25053541;25621143;25946794;26224140;26651637;27230073;27682643;28083975;28572337;29803996;29700427;30336175;30595127;30867303;31194372;31873346;32295573;32922370;33572824;34006373;35072471;35958388;35698843;36050656;36627423;37421941;38005495;38846704;39740116;40832981;41601238;41986440;42443183;43286781
;including:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;loans to business;10506782;10411222;10902474;10825789;10733048;10540956;10882304;10803794;10788440;10946399;11021461;11232595;11598880;11432587;11411163;11491186;11799258;11848227;11849081;11712321;11903344;12064540;12195685;12231169;13117761;12828857;13087381;13053009;13116911;13214404;13531293;13554660;13765144;14121607;14200036;14749689;15281162;14901049;14923237;15229365;15702705;15901106;16280849;16742779;17119872;17572602;17713340;17868915;18514513
;by type of currency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;national currency;7781033;7807580;7950999;8078117;8141050;8162998;8212011;8192500;8225743;8298020;8405457;8642057;8950682;8834633;8927885;9042852;9330023;9427213;9415548;9340297;9407053;9544617;9681583;9730739;10152911;9948079;10090314;10025531;10112615;10176215;10207818;10200100;10268526;10300640;10298099;10645685;11072438;10866993;11040192;11201968;11571412;11657320;11849132;11990592;12167603;12381476;12390020;12606756;13044252
;foreign currency;2725749;2603642;2951476;2747672;2591998;2377957;2670293;2611294;2562697;2648378;2616004;2590538;2648198;2597954;2483279;2448334;2469234;2421014;2433533;2372024;2496292;2519923;2514102;2500430;2964850;2880777;2997067;3027478;3004295;3038189;3323475;3354560;3496618;3820967;3901937;4104003;4208725;4034057;3883045;4027397;4131293;4243786;4431716;4752187;4952269;5191127;5323320;5262159;5470261
;by types of business entities;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;small business;3889474;4008322;4132772;4071289;4221992;4167857;4353149;4187852;4235853;4435918;4479086;4665786;4746067;4653575;4683489;4777355;5056669;5150997;5147104;5179032;5289760;5458667;5554941;5708256;5940376;5863383;5930985;5896692;6030002;6138983;6450846;6354362;6487143;6538987;6603572;6885072;7162737;7115711;7123584;6285084;6569318;6642616;6877636;7116540;7361248;7581912;7638473;7747087;8096440
;medium business;1807367;1640534;1704682;1694464;1589687;1521863;1573579;1666131;1644219;1642971;1656450;1694164;1783854;1746499;1740765;1743961;1780691;1779460;1788559;1754381;1777699;1763272;1767460;1722760;1855182;1794010;1805480;1841533;1833896;1799497;1889650;1912123;1917023;1943214;1959211;2057749;2180559;1753165;1750886;2363178;2408051;2527288;2554912;2636117;2819064;2890892;2877625;2872089;2985725
;large business;4809941;4762365;5065020;5060037;4921369;4851236;4955576;4949811;4908367;4867509;4885926;4872645;5068958;5032512;4986909;4969869;4961897;4917771;4913417;4778908;4835885;4842601;4873284;4800153;5322202;5171464;5350916;5314784;5253013;5275924;5190797;5288176;5360978;5639405;5637253;5806868;5937867;6032173;6048768;6581103;6725336;6731202;6848301;6990122;6939560;7099799;7197241;7249740;7432348
;loans to Individuals;10037548;10088480;10312078;10442453;10655467;10888319;11209212;11594063;11919415;12197818;12477415;12947015;13174364;13263668;13379148;13562355;13821886;14098567;14375059;14939316;15326729;15618103;15888290;16341167;16686235;16871570;17248794;17542118;17750393;17979968;18342054;18740912;19157226;19451217;19806337;20322782;20677225;20797793;21127418;21398058;21719236;22104389;22565855;22997337;23713109;24028636;24273100;24574267;24772268
;by type of currency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;national currency;10020260;10071213;10293231;10424999;10640099;10875265;11197694;11585709;11911286;12189786;12470720;12940484;13168602;13258090;13374041;13557217;13816788;14093709;14370292;14934648;15322209;15613493;15884035;16337189;16682476;16867912;17245277;17538698;17747244;17977080;18339063;18737992;19154292;19448386;19803671;20320211;20674656;20795316;21125185;21395792;21716962;22102059;22562770;22994179;23709950;24025375;24270257;24571554;24769724
;foreign currency;17288;17267;18848;17454;15368;13055;11517;8353;8130;8032;6694;6531;5762;5578;5107;5138;5098;4857;4767;4668;4520;4610;4255;3978;3760;3658;3517;3419;3149;2888;2991;2921;2934;2831;2666;2570;2569;2477;2233;2265;2274;2329;3085;3158;3159;3261;2843;2714;2544
;by the purposes and objects of lending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;mortgage loans;3270343;3330266;3414210;3489862;3626378;3724249;3838202;3952790;4073975;4206835;4369258;4498534;4637224;4679913;4730767;4715862;4777708;4827963;4899742;4873400;5034909;5100289;5165933;5212058;5297332;5326281;5395976;5435897;5469132;5494015;5535013;5603144;5705534;5775706;5859239;5967073;6063760;6064257;6086425;6085661;6165301;6270114;6350734;6445459;6608495;6696639;6770540;6843620;6951610
;consumer loans;6132206;6103323;6225095;6253704;6304022;6435241;6605387;6866555;7023329;7186003;7290357;7610426;7685226;7729254;7778308;7934647;8090357;8278199;8457854;8953585;9234836;9418580;9637829;10040915;10311255;10440292;10723143;10945618;11097203;11280857;11599593;11959144;12649628;12853915;13107365;13504422;13765946;13872261;14123590;14393942;14669549;14941217;15327447;15659350;15983716;16218579;16361369;16583302;16660488
;others;634999;654891;672773;698888;725067;728829;765622;774718;822111;804980;817799;838055;851914;854502;870073;911846;953821;992404;1017464;1112331;1056984;1099234;1084528;1088194;1077648;1104998;1129675;1160604;1184058;1205096;1207447;1178625;802064;821597;839733;851287;847519;861276;917404;918456;884386;893058;887674;892528;1120898;1113417;1141191;1147345;1160170
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"The banking sector includes second-tier banks and the JSC ""Development Bank of Kazakhstan""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Loans to business include loans of non-financial corporations and loans of individual entrepreneurs received for entrepreneurial activity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Loans to Individuals include loans received for purposes not related to the implementation of entrepreneurial activity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* including final turnovers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
