DT;ruo;vol;T;C;MinRate;Percentile25;Percentile75;MaxRate;StatusXML;DateUpdate
1/28/26;15,6600;598,2300;54;18;15,50;15,50;15,75;16,50;0;1/29/26
1/27/26;15,6400;635,3500;62;21;14,85;15,60;15,65;15,75;0;1/28/26
1/26/26;15,6400;666,5600;66;21;14,80;15,60;15,70;15,85;0;1/27/26
1/23/26;15,6100;800,0300;68;21;14,80;15,57;15,65;15,80;0;1/26/26
1/22/26;15,7400;827,0700;72;22;14,80;15,65;15,75;15,90;0;1/23/26
1/21/26;15,7500;768,5000;74;21;14,80;15,70;15,75;15,90;0;1/22/26
1/20/26;15,7700;757,7700;73;21;14,80;15,75;15,85;15,90;0;1/21/26
1/19/26;15,7800;585,9100;51;18;14,80;15,75;15,85;15,90;0;1/20/26
1/16/26;15,8800;571,6200;53;18;14,80;15,75;15,90;15,90;0;1/19/26
1/15/26;15,7200;692,7400;67;22;14,80;15,60;15,75;16,00;0;1/16/26
1/14/26;15,6300;510,6400;51;20;14,80;15,41;15,70;15,80;0;1/15/26
1/13/26;15,2800;540,1100;46;20;14,80;15,15;15,25;15,50;0;1/14/26
1/12/26;15,5700;629,7000;54;21;14,80;15,50;15,60;15,80;0;1/13/26
12/29/25;15,8500;560,8000;45;14;15,79;15,85;15,85;16,25;0;12/30/25
12/26/25;15,8500;673,7000;63;17;15,65;15,75;15,85;16,00;0;12/29/25
12/25/25;15,8300;699,7700;70;22;14,80;15,75;15,85;16,00;0;12/26/25
12/24/25;15,8800;673,0100;65;21;14,80;15,78;15,99;16,00;0;12/25/25
12/23/25;16,0700;562,2700;60;19;14,80;15,85;16,20;16,20;0;12/24/25
12/22/25;15,7700;549,5000;56;15;15,50;15,74;15,80;16,35;0;12/23/25
12/19/25;15,8500;577,1800;60;18;15,30;15,77;15,85;15,90;0;12/22/25
12/18/25;15,8400;543,5000;50;17;15,30;15,70;15,85;15,95;0;12/19/25
12/17/25;15,8400;536,7500;59;19;15,30;15,74;15,85;15,90;0;12/18/25
12/16/25;15,8400;598,7600;62;20;15,30;15,70;15,85;15,90;0;12/17/25
12/15/25;15,8500;739,1300;68;20;15,30;15,73;15,85;16,00;0;12/16/25
12/12/25;15,9100;579,1300;50;20;15,30;15,80;15,95;16,00;0;12/15/25
12/11/25;15,9900;494,7700;52;18;15,30;15,90;16,00;16,05;0;12/12/25
12/10/25;16,0800;347,4000;47;19;15,30;15,90;16,10;16,10;0;12/11/25
