К содержанию;;;;;;
Численность и состав рабочей силы в возрасте 15 лет и старше по Российской Федерации;;;;;;
 (по данным выборочных обследований рабочей силы, тыс. чел.);;;;;;
;;;;;;
;Рабочая сила;в том числе;;Уровень участия в составе рабочей силы, в %;"Уровень занятости, 
в %";Уровень безработицы, в %
;;занятые;безработные;;;
period;labor_force;employed;unemployed;labor_force_participation_rate;employment_rate;unemployment_rate
2017;;;;;;
январь1);76489;72182;4307;62,6;59,1;5,6
февраль1);76009;71773;4235;62,2;58,8;5,6
март1);76396;72267;4129;62,5;59,2;5,4
апрель1);76274;72211;4064;62,4;59,1;5,3
май1);76417;72454;3963;62,6;59,3;5,2
июнь1);76536;72666;3871;62,7;59,5;5,1
июль1);76790;72869;3921;62,9;59,7;5,1
август1);77239;73431;3808;63,2;60,1;4,9
сентябрь1);77159;73329;3831;63,2;60,0;5,0
октябрь1);76981;73112;3869;63,0;59,9;5,0
ноябрь1);76749;72853;3896;62,8;59,6;5,1
декабрь1);76871;72985;3886;62,9;59,8;5,1
2018;;;;;;
январь1);76276;72345;3931;62,5;59,3;5,2
февраль1);76206;72390;3815;62,5;59,3;5,0
март1);76514;72683;3831;62,7;59,6;5,0
апрель1);76430;72703;3727;62,7;59,6;4,9
май1);76594;72975;3620;62,8;59,8;4,7
июнь1);76497;72938;3559;62,7;59,8;4,7
июль1);76697;73077;3620;62,9;59,9;4,7
август1);77317;73794;3523;63,4;60,5;4,6
сентябрь1);77022;73573;3449;63,1;60,3;4,5
октябрь1);76542;72919;3623;62,7;59,8;4,7
ноябрь1);76705;73040;3665;62,9;59,9;4,8
декабрь1);76756;73042;3713;62,9;59,9;4,8
2019;;;;;;
январь1);75354;71665;3689;61,8;58,8;4,9
февраль1);75638;71962;3676;62,0;59,0;4,9
март1);75491;71954;3537;61,9;59,0;4,7
апрель1);75431;71857;3574;61,9;58,9;4,7
май1);75435;72008;3427;61,9;59,0;4,5
июнь1);75773;72413;3360;62,1;59,4;4,4
июль1);76081;72682;3398;62,4;59,6;4,5
август1);76224;72954;3269;62,5;59,8;4,3
сентябрь1);76059;72669;3390;62,4;59,6;4,5
октябрь1);76032;72541;3491;62,3;59,5;4,6
ноябрь1);76669;73127;3542;62,9;60,0;4,6
декабрь1);76378;72877;3502;62,6;59,8;4,6
2020;;;;;;
январь1);75390;71892;3498;61,8;59,0;4,6
февраль1);75090;71636;3454;61,6;58,8;4,6
март1);75409;71904;3504;61,9;59,0;4,6
апрель1);75042;70731;4311;61,6;58,0;5,7
май1);75082;70535;4547;61,6;57,9;6,1
июнь1);75211;70568;4643;61,7;57,9;6,2
июль1);75500;70734;4765;61,9;58,0;6,3
август1);75869;71029;4839;62,2;58,3;6,4
сентябрь1);75796;70979;4816;62,2;58,2;6,4
октябрь1);75562;70831;4731;62,0;58,1;6,3
ноябрь1);75895;71252;4644;62,3;58,4;6,1
декабрь1);75752;71297;4454;62,1;58,5;5,9
2021;;;;;;
январь1);75649;71286;4363;62,0;58,4;5,8
февраль1);75664;71359;4305;62,0;58,5;5,7
март1);75624;71534;4090;62,0;58,6;5,4
апрель1);75781;71843;3938;62,1;58,9;5,2
май1);75942;72218;3724;62,2;59,2;4,9
июнь1);75979;72356;3623;62,3;59,3;4,8
июль1);76076;72603;3473;62,4;59,5;4,6
август1);76259;72873;3386;62,5;59,7;4,4
сентябрь1);76215;72906;3309;62,5;59,8;4,3
октябрь1);76124;72816;3308;62,4;59,7;4,3
ноябрь1);76031;72761;3270;62,3;59,6;4,3
декабрь1);76285;73019;3266;62,5;59,8;4,3
2022;;;;;;
январь1);75524;72197;3327;62,1;59,4;4,4
февраль1);75521;72422;3099;62,1;59,6;4,1
март1);75170;72063;3107;61,8;59,3;4,1
апрель1);75575;72538;3037;62,2;59,7;4,0
май1);75577;72592;2985;62,2;59,7;3,9
июнь1);75600;72613;2988;62,2;59,7;4,0
июль1);75720;72778;2942;62,3;59,9;3,9
август1);76218;73314;2904;62,7;60,3;3,8
сентябрь1);75542;72608;2933;62,1;59,7;3,9
октябрь1)2);75719;72782;2937;62,3;59,9;3,9
ноябрь1)2);75839;73049;2790;62,4;60,1;3,7
декабрь1)2);75584;72770;2814;62,2;59,8;3,7
2023;;;;;;
январь2);75600;72867;2734;62,4;60,1;3,6
февраль2);75431;72796;2635;62,3;60,1;3,5
март2);75621;73012;2609;62,4;60,3;3,5
апрель2);75812;73346;2466;62,6;60,5;3,3
май2);75793;73387;2406;62,6;60,6;3,2
июнь2);75944;73593;2351;62,7;60,7;3,1
июль2);76301;74025;2276;63,0;61,1;3,0
август2);76507;74239;2268;63,1;61,3;3,0
сентябрь2);76329;74013;2315;63,0;61,1;3,0
октябрь2);76297;74073;2224;63,0;61,1;2,9
ноябрь2);76279;74046;2233;63,0;61,1;2,9
декабрь2);76526;74237;2289;63,2;61,3;3,0
2024;;;;;;
январь2);75381;73232;2150;62,3;60,6;2,9
февраль2);75526;73416;2109;62,5;60,7;2,8
март2);75645;73619;2026;62,6;60,9;2,7
апрель2);75953;73992;1961;62,8;61,2;2,6
май2);76109;74104;2005;62,9;61,3;2,6
июнь2);76308;74448;1860;63,1;61,6;2,4
июль2);76310;74445;1865;63,1;61,6;2,4
август2);76375;74534;1841;63,2;61,6;2,4
сентябрь2);76302;74478;1824;63,1;61,6;2,4
октябрь2);76334;74581;1753;63,1;61,7;2,3
ноябрь2);76630;74834;1797;63,4;61,9;2,3
декабрь2);76382;74594;1788;63,2;61,7;2,3
2025;;;;;;
январь2);75267;73459;1809;62,2;60,7;2,4
февраль2);75495;73708;1786;62,4;60,9;2,4
март2);75808;74078;1729;62,6;61,2;2,3
апрель2);75932;74222;1709;62,7;61,3;2,3
май2);76170;74516;1653;62,9;61,6;2,2
июнь2);76271;74607;1664;63,0;61,6;2,2
июль2);76648;74998;1650;63,3;62,0;2,2
август2);76549;74957;1592;63,2;61,9;2,1
сентябрь2);76224;74578;1646;63,0;61,6;2,2
октябрь2);76490;74833;1657;63,2;61,8;2,2
