К содержанию;;;;;;;;;;;;;;;
Квартальные индексы потребительских цен на товары и услуги по Российской Федерации в 2005-20251) гг.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;в процентах;
;Все товары и услуги;;;в том числе на:;;;;;;;;;;;
;;;;продовольственные товары;;;из них:;;;непродовольственные товары;;;услуги;;
;;;;;;;"продовольственные товары
(без алкогольных напитков)";;;;;;;;
;на конец квартала к концу предыдущего квартала;квартал к предыдущему кварталу;квартал к соответствую-щему кварталу предыдущего года;на конец квартала к концу предыдущего квартала;квартал к предыдущему кварталу;квартал к соответствую-щему кварталу предыдущего года;на конец квартала к концу предыдущего квартала;квартал к предыдущему кварталу;квартал к соответствую-щему кварталу предыдущего года;на конец квартала к концу предыдущего квартала;квартал к предыдущему кварталу;квартал к соответствую-щему кварталу предыдущего года;на конец квартала к концу предыдущего квартала;квартал к предыдущему кварталу;квартал к соответствую-щему кварталу предыдущего года
date;all_eoq_to_prev_eoq;all_qoq;all_yoy;food_eoq_to_prev_eoq;food_qoq;food_yoy;food_excl_alcohol_eoq_to_prev_eoq;food_excl_alcohol_qoq;food_excl_alcohol_yoy;nonfood_eoq_to_prev_eoq;nonfood_qoq;nonfood_yoy;services_eoq_to_prev_eoq;services_qoq;services_yoy
2005;;;;;;;;;;;;;;;
 I квартал;105,27;105,09;113,09;104,94;104,77;112,65;105,38;105,20;113,54;101,11;101,22;107,16;112,56;111,86;123,76
 II квартал;102,58;103,20;113,76;103,52;104,54;114,91;103,86;105,02;116,31;101,26;101,28;106,65;102,55;103,23;122,63
 III квартал;100,57;101,15;112,67;98,56;100,18;113,10;98,03;99,93;114,11;102,06;101,50;106,22;102,60;102,62;121,88
 IV квартал;102,12;101,44;111,28;102,33;100,51;110,27;102,46;100,33;110,76;101,83;102,20;106,35;102,15;102,24;121,17
2006;;;;;;;;;;;;;;;
 I квартал;104,98;104,67;110,84;106,24;105,45;111,00;107,05;106,13;111,73;101,28;101,39;106,54;108,01;107,95;116,95
 II квартал;101,11;101,87;109,41;100,75;102,34;108,68;100,56;102,42;108,98;101,03;101,10;106,34;101,87;102,04;115,59
 III квартал;100,95;101,17;109,44;99,70;100,47;109,00;99,03;100,07;109,13;101,93;101,54;106,37;101,82;101,93;114,80
 IV квартал;101,71;101,09;109,06;101,83;100,22;108,69;101,67;99,70;108,44;101,63;101,91;106,05;101,63;101,54;113,99
2007;;;;;;;;;;;;;;;
 I квартал;103,42;103,39;107,73;102,56;102,76;105,92;102,69;102,88;105,12;101,11;101,24;105,90;108,04;107,42;113,42
 II квартал;102,17;102,08;107,95;103,47;102,78;106,36;103,85;103,01;105,73;101,05;101,10;105,91;101,62;102,29;113,71
 III квартал;101,76;102,04;108,88;101,84;102,84;108,86;101,86;103,07;108,91;101,75;101,35;105,71;101,62;101,72;113,48
 IV квартал;104,05;103,42;111,40;106,95;105,66;114,75;107,84;106,31;116,14;102,48;102,41;106,23;101,57;101,28;113,20
2008;;;;;;;;;;;;;;;
 I квартал;104,78;104,74;112,86;105,65;105,49;117,79;106,16;106,02;119,70;101,96;102,05;107,09;107,50;107,39;113,17
 II квартал;103,79;103,89;114,85;105,43;105,91;121,38;105,90;106,44;123,67;102,43;102,36;108,43;103,10;102,90;113,85
 III квартал;101,68;102,13;114,94;100,65;101,63;119,95;100,42;101,52;121,80;101,94;102,06;109,18;102,92;102,99;115,26
 IV квартал;102,45;102,38;113,76;103,89;103,23;117,18;104,11;103,34;118,40;101,41;101,81;108,55;101,64;101,78;115,83
2009;;;;;;;;;;;;;;;
 I квартал;105,42;104,72;113,73;105,03;104,35;115,90;105,23;104,57;116,79;103,79;102,52;109,05;108,46;108,45;116,97
 II квартал;101,87;102,71;112,43;101,87;103,06;112,79;101,72;102,98;112,99;102,44;103,20;109,93;101,03;101,48;115,36
 III квартал;100,60;101,21;111,44;98,87;100,24;111,27;98,48;100,03;111,33;101,90;101,99;109,85;101,28;101,51;113,71
 IV квартал;100,70;100,30;109,20;100,29;99,00;106,74;100,12;98,63;106,25;101,20;101,58;109,61;100,56;100,37;112,15
2010;;;;;;;;;;;;;;;
 I квартал;103,16;102,81;107,22;103,76;103,09;105,45;103,78;103,11;104,77;100,92;100,84;107,81;105,38;105,16;108,73
 II квартал;101,18;101,47;105,92;101,54;102,05;104,42;101,46;101,97;103,74;100,97;101,05;105,57;100,99;101,18;108,40
 III квартал;101,76;101,44;106,15;102,85;102,05;106,31;103,17;102,19;105,98;101,21;100,99;104,53;100,87;101,15;108,02
 IV квартал;102,41;102,15;108,11;104,17;103,70;111,36;104,71;104,16;111,94;101,77;101,75;104,70;100,65;100,41;108,07
2011;;;;;;;;;;;;;;;
 I квартал;103,81;104,13;109,50;104,83;105,65;114,14;105,17;106,20;115,30;101,69;101,79;105,67;105,22;105,09;108,01
 II квартал;101,14;101,50;109,54;100,14;101,33;113,32;99,84;101,19;114,41;101,73;101,61;106,25;101,88;101,66;108,52
 III квартал;99,71;100,12;108,11;97,29;98,01;108,83;96,62;97,44;109,09;101,49;101,42;106,72;100,87;101,51;108,90
 IV квартал;101,35;100,80;106,68;101,71;100,18;105,12;101,67;99,91;104,65;101,58;101,80;106,79;100,54;100,36;108,84
2012;;;;;;;;;;;;;;;
 I квартал;101,46;101,38;103,86;102,27;102,12;101,60;102,15;102,02;100,53;101,23;101,21;106,19;100,59;100,56;104,15
 II квартал;101,73;101,47;103,82;102,41;101,92;102,19;102,47;101,85;101,17;101,02;101,16;105,72;101,72;101,23;103,71
 III квартал;101,89;102,26;106,03;100,73;102,07;106,42;100,13;101,77;105,65;101,41;101,10;105,38;104,31;104,22;106,48
 IV квартал;101,35;101,27;106,53;101,87;101,04;107,34;101,81;100,81;106,57;101,40;101,66;105,22;100,53;101,06;107,22
2013;;;;;;;;;;;;;;;
 I квартал;101,89;101,94;107,12;103,00;103,21;108,49;102,06;102,45;107,01;101,26;101,18;105,19;101,15;101,24;107,93
 II квартал;101,60;101,51;107,16;102,16;102,06;108,64;102,09;101,81;106,98;100,80;101,00;105,03;101,88;101,43;108,14
 III квартал;101,17;101,48;106,35;99,18;100,09;106,53;98,76;99,78;104,90;101,19;100,90;104,81;104,09;104,41;108,34
 IV квартал;101,65;101,29;106,39;102,83;101,73;107,24;103,06;101,76;105,91;101,14;101,40;104,51;100,70;100,62;107,86
2014;;;;;;;;;;;;;;;
 I квартал;102,32;101,94;106,40;104,01;103,24;107,29;103,67;103,09;106,55;101,36;101,07;104,38;101,36;101,37;107,99
 II квартал;102,44;102,65;107,58;103,47;104,10;109,44;103,51;104,04;108,88;101,48;101,67;105,09;102,35;101,97;108,56
 III квартал;101,39;101,59;107,68;100,68;101,04;110,48;100,40;100,79;109,99;101,43;101,31;105,53;102,35;102,79;106,89
 IV квартал;104,79;103,11;109,58;106,54;104,22;113,19;107,39;104,65;113,13;103,56;102,36;106,55;104,02;102,53;108,92
2015;;;;;;;;;;;;;;;
 I квартал;107,44;108,10;116,20;110,85;111,59;122,35;111,75;112,82;123,82;106,84;106,91;112,72;103,33;104,75;112,56
 II квартал;101,00;102,30;115,82;99,95;102,35;120,28;99,59;102,20;121,64;101,76;103,00;114,20;101,50;101,16;111,67
 III квартал;101,73;101,47;115,69;99,49;99,15;118,03;99,18;98,79;119,21;102,31;101,72;114,67;104,33;104,72;113,78
 IV квартал;102,28;102,01;114,48;103,42;102,28;115,84;103,74;102,41;116,65;102,17;102,63;114,98;100,72;100,66;111,72
2016;;;;;;;;;;;;;;;
 I квартал;102,07;102,31;108,35;102,29;102,98;106,90;102,32;103,18;106,68;102,28;102,01;109,70;101,43;101,77;108,53
 II квартал;101,21;101,36;107,35;100,91;101,21;105,70;100,79;101,08;105,51;101,49;101,84;108,45;101,28;100,90;108,24
 III квартал;100,72;100,98;106,83;99,23;99,72;106,30;98,92;99,48;106,24;101,35;101,28;107,98;102,08;102,43;105,87
 IV квартал;101,28;100,98;105,75;102,09;101,16;105,14;102,26;101,18;104,98;101,28;101,45;106,74;100,05;100,02;105,20
2017;;;;;;;;;;;;;;;
 I квартал;100,97;101,23;104,63;101,19;101,66;103,79;101,15;101,72;103,48;100,89;101,02;105,71;100,79;100,89;104,29
 II квартал;101,32;100,94;104,19;102,23;101,50;104,10;102,41;101,54;103,96;100,43;100,52;104,33;101,19;100,71;104,10
 III квартал;99,38;100,19;103,37;96,56;98,47;102,79;96,04;98,19;102,62;100,47;100,38;103,40;102,09;102,46;104,13
 IV квартал;100,84;100,20;102,57;101,18;99,63;101,23;101,32;99,53;100,94;100,93;100,84;102,78;100,24;100,18;104,29
2018;;;;;;;;;;;;;;;
 I квартал;100,81;100,90;102,24;101,38;101,38;100,95;101,52;101,53;100,76;100,59;100,76;102,51;100,32;100,45;103,84
 II квартал;101,26;101,06;102,37;100,75;100,99;100,44;100,80;101,07;100,29;101,67;101,25;103,25;101,42;100,92;104,05
 III квартал;100,44;100,79;102,98;99,21;99,62;101,62;99,08;99,55;101,67;100,70;100,96;103,85;101,80;102,16;103,75
 IV квартал;101,70;101,07;103,87;103,27;101,61;103,64;103,66;101,78;103,97;101,08;101,10;104,13;100,36;100,33;103,91
2019;;;;;;;;;;;;;;;
 I квартал;101,77;102,14;105,16;102,61;103,47;105,77;102,84;103,82;106,31;101,15;101,19;104,57;101,46;101,59;105,09
 II квартал;100,67;100,89;104,99;100,36;101,16;105,95;100,36;101,25;106,49;100,57;100,63;103,94;101,20;100,82;104,99
 III квартал;99,80;100,12;104,29;98,36;98,77;105,04;98,15;98,60;105,49;100,53;100,52;103,49;100,88;101,50;104,31
 IV квартал;100,77;100,25;103,44;101,28;100,09;103,47;101,45;100,10;103,75;100,68;100,70;103,07;100,17;99,87;103,83
2020;;;;;;;;;;;;;;;
 I квартал;101,28;101,14;102,42;102,23;101,98;101,99;102,35;102,12;102,06;100,75;100,59;102,46;100,70;100,71;102,94
 II квартал;101,32;101,57;103,11;102,06;102,73;103,57;102,22;102,95;103,77;101,03;101,05;102,88;100,70;100,65;102,76
 III квартал;100,24;100,54;103,54;98,75;99,46;104,30;98,57;99,33;104,54;101,27;101,06;103,44;100,94;101,33;102,58
 IV квартал;101,98;101,12;104,44;103,53;101,50;105,77;103,97;101,67;106,17;101,67;101,72;104,49;100,34;99,89;102,60
2021;;;;;;;;;;;;;;;
 I квартал;102,13;102,22;105,55;103,08;103,60;107,44;103,34;103,96;108,08;101,84;101,63;105,57;101,19;101,10;102,99
 II квартал;102,02;102,01;106,02;102,37;102,58;107,28;102,61;102,83;107,95;102,09;102,07;106,63;101,43;101,16;103,51
 III квартал;101,08;101,33;106,85;99,97;100,22;108,11;99,96;100,23;108,93;102,23;102,23;107,86;101,20;101,75;103,94
 IV квартал;102,92;102,50;108,31;104,87;104,00;110,77;105,44;104,49;111,95;102,16;102,19;108,36;101,08;100,74;104,83
2022;;;;;;;;;;;;;;;
 I квартал;109,95;105,27;111,54;109,95;106,19;113,54;110,53;106,64;114,84;112,87;105,70;112,70;105,97;103,33;107,15
 II квартал;101,33;106,95;116,94;102,35;107,96;119,50;102,23;108,23;120,87;100,03;107,86;119,10;101,63;104,19;110,35
 III квартал;99,14;99,09;114,36;96,76;96,93;115,57;96,35;96,49;116,36;99,66;99,27;115,65;101,98;102,10;110,74
 IV квартал;101,33;100,55;112,18;101,29;100,03;111,15;101,56;100,11;111,49;100,15;100,19;113,39;103,06;101,79;111,89
2023;;;;;;;;;;;;;;;
 I квартал;101,67;101,92;108,62;102,25;102,44;107,23;102,39;102,67;107,35;100,27;100,26;107,55;102,73;103,46;112,03
 II квартал;101,06;101,12;102,69;99,97;100,43;99,75;99,88;100,39;99,58;100,91;100,58;100,30;102,77;102,73;110,47
 III квартал;101,79;101,47;105,15;101,29;100,63;103,55;101,41;100,65;103,86;103,17;102,44;103,50;100,77;101,41;109,71
 IV квартал;102,69;102,51;107,20;104,45;103,48;107,13;104,95;103,86;107,75;101,51;102,16;105,54;101,82;101,64;109,55
2024;;;;;;;;;;;;;;;
 I квартал;101,95;102,32;107,61;102,21;103,37;108,10;102,25;103,62;108,74;101,00;101,19;106,52;102,70;102,26;108,28
 II квартал;101,89;101,71;108,25;101,54;101,35;109,08;101,47;101,25;109,67;101,16;101,08;107,05;103,24;102,93;108,49
 III квартал;101,83;102,12;108,94;100,69;101,02;109,51;100,51;100,88;109,92;101,81;101,55;106,11;103,39;104,29;111,57
 IV квартал;103,54;102,55;108,98;106,28;103,93;109,99;106,83;104,20;110,29;102,01;101,91;105,86;101,73;101,50;111,42
2025;;;;;;;;;;;;;;;
 I квартал;102,71;103,37;110,11;103,47;105,02;111,74;103,18;105,04;111,79;100,82;101,35;106,02;103,94;103,55;112,83
 II квартал;101,03;101,46;109,83;101,08;101,90;112,35;100,83;101,66;112,24;99,77;100,01;104,90;102,48;102,58;112,44
 III квартал;100,51;100,69;108,30;98,49;98,92;110,01;98,17;98,58;109,68;101,20;100,60;103,93;102,53;103,28;111,36
 IV квартал;101,25;100,98;106,64;102,18;101,37;107,30;102,36;101,45;106,79;101,17;101,43;103,43;100,09;99,97;109,68
Более подробно с методологией расчета индексов потребительских цен Вы можете ознакомиться на сайте Росстата по следующей ссылке:;;;;;;;;;;;;;;;
Методология;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1) Без учета статистической информации по Донецкой Народной Республике, Луганской Народной Республике, Запорожской и Херсонской областям.;;;;;;;;;;;;;;;
